1.'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
2.KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
3.KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
4.국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
5."설악산 코스 알려줘" 인공지능에게 물었더니...
6.CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
7.LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
8.노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
9.국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
10.중앙대, 제7회 인공지능인문학 국제학술대회 성료
11.산불도 인공지능으로 잡아낸다…경남도, ICT 플랫폼 가동
12.중앙대, 제7회 인공지능인문학 국제학술대회 개최
13.SK스토아, AI 기반 의류 사이즈 추천 서비스 도입
14.인공지능 기술창업 육성 전문기관 '서울 AI 허브' 개관
15.CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
16."인공지능 인프라 깔린 광주, 이제는 사람과 교통"
17.대웅제약-KMI, 인공지능 심전도검사 ‘모비케어·에띠아’ 본격시행
18.CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
19.경남로봇랜드재단, 순천 학생들에게 로봇·인공지능 체험 제공
20.상주시, 인공지능 기술 결합 된 산불감시 시스템 구축 시동
21."외인 폭풍 매수"…LG전자, '10만전자' 돌파
22.오픈AI 차세대 GPT 학습 인간 넘는 인공지능 속도
23.KISTI, 인간과 인공지능의 조화로운 공존 방안은?
24.리벨리온, '스퀴즈비츠'와 생성형 AI 모델 경량화 전략적 파트너십 체결
25.[책마을]AI를 미디어에 적용한다면…이론·실무 겸비한 책 '미디어 인공지능'
26.일상 깊숙이 스며든 인공지능 어떻게 봐야 할까…학술총서 출간
27.신세계라이브쇼핑, AI 상담사 등 고객 맞춤형 상담 서비스 확대
28.인공지능 스타트업들 “학습 데이터, 아직 턱없이 부족”
29.바텍, 치과진단 지원 '인공지능 솔루션' 고도화
30.'일론 머스크의 인공지능 기업' xAI, 8조원 투자 받고 오픈AI 잡는다
31.'인공지능 시대 다문화교육은'…국제학술대회 30일 개최
32.대웅제약, 인공지능 심전도 검사기기 공급 확대
33.인공지능이 산업 혁신?…"기업들 어려움 많아"
34.[포토]대학축제장에 뜬 인공지능 '익시' 사진관
35.삼성자산운용 한동훈 매니저 "인공지능 ETF 대세는 인프라"
36.오순영 "규제프리 '악성 생성형 AI'…제동장치 마련할 때"
37.'올해만 32개' 유망 인공지능 기업 광주행
38.대동, 인공지능 로봇 전문회사 '대동에이아이랩' 설립
39.장대익 "AI, 인간 정체성 위협할 순간 온다…산업계 고민 필요"
40.울산정보산업진흥원, 2024 인공지능·ChatGPT·IoT·보안 2차 교육생 모집
41.“오픈AI, 챗GPT 4.0 압도할 차세대 모델 개발 중”
42.인공지능 열풍에…30대 그룹 AI 담당 임원 1년새 두배 늘었다
43.인공지능 훈풍 엔비디아, 국내 투자자 최다 보유 해외주 등극
44.인공지능 덕분에 채용되거나 쫓겨나거나...美 노동시장 강타한 AI
45.인공지능으로 만드는 운동선수 사진
46.‘서울 AI 허브’, 세계가 주목하는 인공지능 산·학·연 집적 생태계로 키운...
47.'AI 혁신거점' 모인 스타트업들…"인공지능 전환(AX) 시대 선도"
48.인공지능을 ‘컴퓨터 범죄’ 코치처럼…AI가 만든 ‘랜섬웨어’ 첫 적발
49.카카오모빌리티, 사우디 데이터인공지능청과 기술 협력 논의
50.전남도, 인공지능 기반 첨단농산업 구축 방안 모색
51."AI에 진심인 LG그룹...전문 국내 임원 최다" SK·삼성 뒤이어
52.日, AI 활용 바이러스 제작 첫 체포…“AI 범죄 활용 현실화”
53.코스콤, 중소 금융사 맞춤형 인공지능 컨택센터 서비스 출시
54.㈜고스디자인, 인공지능(AI) 연구소 설립
55.[현장] "행동형 AI 만들면 한국이 인공지능 시대 리드할 수 있다"
56.인천시, 인공지능(AI) 중심 디지털 전환 시대 준비
57.강진군, 첨단인공지능 활용해 외국인 민원 해결
58.'인공지능(AI) 실증도시' 광주에 올해만 32개 업체 모여들어
59.과기정통부, AI반도체 등 혁신도전형 R&D 신규 과제 지원
60.고학수 개보위원장, 유엔 회의 참석 "국제 AI 규율 주도"
61.노벨 경제학상 수상자, 고려대서 '인공지능' 29일 강연
62.광주 동구, 인공지능 모의 면접기 설치…6월부터 운영
63.지극히 인간적인 세상 꿈꾸는 기본소득당의 '인공지능'… "지역에서 기반 만들...
64.21대 국회 폐원.. 인공지능·해상풍력 법안 자동폐기
65.EU 인공지능법에서 규정한 AI 정의
66.사우디 데이터인공지능청장, 카카오모빌리티도 찾았다…협력 타진
67."아무리 비싸도 50만원이면 돼요"…SNS 광고 모델의 실체
68.인공지능 시대에서의 청렴
69.[보험 DX 드라이브] KB손해보험, 인공지능·건강관리로 사용자경험 차별화
70.[일상외전] 인공지능과 암치료
71.초거대·생성형 인공지능 시대에 ‘데이터’란?
72.유니티 "올해 '유 데이 서울' 키워드는 인공지능"
73.인공지능과 우리 미래
74.현직 초교 교사가 SSCI급에 인공지능(AI) 활용 논문 게재 '주목'
75.'AI수로부인' 심은록 감독, '인공지능 시대의 디지털 유산' 심포지엄에서 강연
76.과기정통부, 미국 국제 인공지능 프론티어랩 구축 추진
77.'인공지능 눈독' 정유업계, 생산 효율성 극대화
78.김천시립도서관, 인문학 관점에서 인공지능 이해하기
79.경기도의회, 전국 최초로 인공지능 기본조례 제정 추진
80.충남도, 재난 대응 시스템 '드론·인공지능' 접목
81.글로벌 CEO, 인공지능 등 신기술 경쟁 속 고위험·고수익 경영 추구
82.인천시, 인공지능(AI) 중심 디지털 전환 시대 준비
83.에듀템, 광주광역시와 인공지능 산업생태계 조성 위한 업무협약
84.프레시지, 밀키트 넘어 AI 기반 푸드테크 기업 도약
85.더화이트커뮤니케이션, 엘솔루와 인공지능 컨택센터 솔루션 공동개발 위한 MO...
86.AI 서울회의 참석한 유영상 SKT 사장 "AI 균형 발전, 국제사회 함께해야"
87.[FT솔로몬] 인공지능 시대의 저작권 문제는 어떻게 될까
88.“인공지능(AI)도 전기는 쓰겠지”…美 관련주 주가↑
89.커팅엣지, 어비와 CGV에서 인공지능 영화 컨퍼런스(UAF) 진행
90.질병 없는 세상을 향해… 인공지능 손잡고 신약 개발
91.[경제인사이드] 'AI' 전면 배치한 이통 3사… AI 신사업으로 활로 개척
92.춘해보건대 원격교육지원센터, 인공지능 기반 '이러닝 역량강화 워크숍' 운영
93.한국전파진흥협회-현대로템, 방위산업 인공지능 전문인력 양성한다…‘K-방산...
94.“인공지능 연수 신청했을 뿐인데”…교사 1만명 개인정보 유출됐다
95."인공지능(AI), 사회적 고립 해소해준다"
96.전석훈 의원, 전국 최초로 인공지능 기존조례 추진
97.'서울 선언'으로 세계 AI 거버넌스 중심에 선 대한민국(종합)
98.오픈AI·구글·삼성 등 '서울 기업 서약'…"책임 있는 AI 만들자"
99.EU "인종·종교 분류 AI 범죄 프로파일링 금지"…'AI 안전' 글로벌 화두
100.과학기술정보통신부, '2024년 인공지능·디지털 기반 미디어 활성화' 사업공고
101.CEO 자리도 넘보는 인공지능.. 'AI 보스' 시대 오나
